treatment,comp,timestep,plot_id,surface_mgha,log_surface_mgha
mechburn,0570,post_18,0570-00017,27.81140830367365,3.4517907181974326
mechburn,0570,post_18,0570-00023,37.67780272617037,3.72384221100592
mechburn,0570,post_18,0570-00025,141.07855274090036,4.975519181744253
mechburn,0570,post_18,0570-00101,43.06111188387071,3.8460232518886563
mechburn,0570,post_18,0570-00102,35.75623078402868,3.676343041913375
mechburn,0570,post_18,0570-00103,22.40608076881789,3.2639074540332382
mechburn,0570,post_18,0570-00104,35.81643976430144,3.677866094878438
mechburn,0570,post_18,0570-00105,34.670675103260834,3.648477110328436
mechburn,0570,post_18,0570-00106,52.271860785272345,4.025660636791196
mechburn,0570,post_18,0570-00107,26.166942519004643,3.3982726215741903
mechburn,0570,post_18,0570-00110,65.95914646416422,4.244266159656822
mechburn,0570,post_18,0570-00111,49.26002561776528,3.970395087181265
mechburn,0570,post_18,0570-00112,29.969417533439426,3.51793870159116
mechburn,0570,post_18,0570-00113,109.57856328126985,4.73025102686078
mechburn,0570,post_18,0570-00115,27.395935424928382,3.4385374265568824
mechburn,0570,post_18,0570-00119,91.64169859230668,4.5579437838246
